"Marketplace ID","Merchant ID","Order Date","Transaction Type","Is Invoice Corrected","Order ID","Shipment Date","Shipment ID","Transaction ID",ASIN,SKU,Quantity,"Tax Calculation Date","Tax Rate","Product Tax Code",Currency,"Tax Type","Tax Calculation Reason Code","Tax Reporting Scheme","Tax Collection Responsibility","Tax Address Role","Jurisdiction Level","Jurisdiction Name","OUR_PRICE Tax Inclusive Selling Price","OUR_PRICE Tax Amount","OUR_PRICE Tax Exclusive Selling Price","OUR_PRICE Tax Inclusive Promo Amount","OUR_PRICE Tax Amount Promo","OUR_PRICE Tax Exclusive Promo Amount","SHIPPING Tax Inclusive Selling Price","SHIPPING Tax Amount","SHIPPING Tax Exclusive Selling Price","SHIPPING Tax Inclusive Promo Amount","SHIPPING Tax Amount Promo","SHIPPING Tax Exclusive Promo Amount","GIFTWRAP Tax Inclusive Selling Price","GIFTWRAP Tax Amount","GIFTWRAP Tax Exclusive Selling Price","GIFTWRAP Tax Inclusive Promo Amount","GIFTWRAP Tax Amount Promo","GIFTWRAP Tax Exclusive Promo Amount","Seller Tax Registration","Seller Tax Registration Jurisdiction","Buyer Tax Registration","Buyer Tax Registration Jurisdiction","Buyer Tax Registration Type","Buyer E Invoice Account Id","Invoice Level Currency Code","Invoice Level Exchange Rate","Invoice Level Exchange Rate Date","Converted Tax Amount","VAT Invoice Number","Invoice Url","Export Outside EU","Ship From City","Ship From State","Ship From Country","Ship From Postal Code","Ship From Tax Location Code","Ship To City","Ship To State","Ship To Country","Ship To Postal Code","Ship To Location Code","Return Fc Country","Is Amazon Invoiced","Original VAT Invoice Number","Invoice Correction Details","E-Invoice Delivery Status","E-Invoice Error Code","E-Invoice Error Description","E-Invoice Status Last Updated Date","EInvoice URL","Buyer Peppol Id","Seller Peppol Id","Buyer NIP","Seller NIP","KSeF Number"
ES,122283732812,"30-Mar-2026 UTC",SHIPMENT,FALSE,408-0085307-7377920,"30-Mar-2026 UTC",26162946150039,26162946150039,B0CB7W1D1T,420290-36,1,"30-Mar-2026 UTC",0.2100,A_GEN_STANDARD,EUR,VAT,Taxable,,Seller,ShipTo,Country,SPAIN,89.20,15.48,73.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ESB71337349,ES,,,,,,0.0000,,0.00,ES60010S9FPVBS,"https://sellercentral.amazon.es/document/download?v=urn%3aalx%3adoc%3a9d8cab0f-1f96-4462-8642-ace99a371392%3aeb3ec07d-652e-4ef0-bdff-2c3e75ab2b44&t=EU_Retail_Forward",false,Pamplona,Navarra,ES,31001,807240000,"Ciudad Quesada",Alicante,ES,03170,807240000,,true,,,,,,,,,,,,
ES,122283732812,"21-Mar-2026 UTC",RETURN,FALSE,407-2839529-5873946,"27-Mar-2026 UTC",26133376803039,"amzn1:crow:hmZz12YfSoOnAExkbbXm9A",B0C3JKX8QK,856763-43,1,"21-Mar-2026 UTC",0.2100,A_GEN_STANDARD,EUR,VAT,Taxable,,Seller,ShipTo,Country,SPAIN,-67.27,-11.67,-55.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ESB71337349,ES,,,,,,0.0000,,0.00,ES6000A89FPVBX,"https://sellercentral.amazon.es/document/download?v=urn%3aalx%3adoc%3a9d8cab0f-1f96-4462-8642-ace99a371392%3af424932d-7b85-4d67-ad04-75e7c0877986&t=EU_Retail_Reversal",false,Pamplona,Navarra,ES,31001,807240000,"Sant Feliu de Llobregat",Barcelona,ES,08980,807240000,,true,,,,,,,,,,,,
ES,122283732812,"29-Mar-2026 UTC",SHIPMENT,FALSE,403-9152340-2406718,"29-Mar-2026 UTC",108132462479302,108132462479302,B07DPPKKLL,FBA426046-37,1,"29-Mar-2026 UTC",0.2100,A_GEN_STANDARD,EUR,VAT,Taxable,,Seller,ShipTo,Country,SPAIN,78.82,13.68,65.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ESB71337349,ES,,,,,,0.0000,,0.00,ES6001069FPVBS,"https://sellercentral.amazon.es/document/download?v=urn%3aalx%3adoc%3a9d8cab0f-1f96-4462-8642-ace99a371392%3ac78a5137-de95-40a1-aa46-ebbf015ce6a9&t=EU_Retail_Forward",false,Murcia,Murcia,ES,30156,807240000,Sevilla,Sevilla,ES,41015,807240000,,true,,,,,,,,,,,,
ES,122283732812,"12-Mar-2026 UTC",REFUND,FALSE,406-2148118-7405130,"19-Mar-2026 UTC",26105656333039,"amzn1:crow:j6eV13BPSUCheB3FXd6WSA",B0F2GLCKKS,183342-40,1,"12-Mar-2026 UTC",0.2100,A_GEN_STANDARD,EUR,VAT,Taxable,,Seller,ShipTo,Country,SPAIN,-75.99,-13.19,-62.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ESB71337349,ES,,,,,,0.0000,,0.00,ES60009N9FPVBX,"https://sellercentral.amazon.es/document/download?v=urn%3aalx%3adoc%3a9d8cab0f-1f96-4462-8642-ace99a371392%3a37d5bd56-e7d8-43cc-a036-b59dd8461bd5&t=EU_Retail_Reversal",false,Pamplona,Navarra,ES,31001,807240000,LEON,LEON,ES,24009,807240000,,true,,,,,,,,,,,,
ES,122283732812,"15-Mar-2026 UTC",RETURN,FALSE,403-5606383-5439506,"19-Mar-2026 UTC",107607099275302,"amzn1:crow:0fUEP3q6TMSOWdbJjVcgHQ",B071W6NT38,FBA047768-45,1,"15-Mar-2026 UTC",0.2100,A_GEN_STANDARD,EUR,VAT,Taxable,,Seller,ShipTo,Country,SPAIN,-83.49,-14.49,-69.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ESB71337349,ES,,,,,,0.0000,,0.00,ES60009P9FPVBX,"https://sellercentral.amazon.es/document/download?v=urn%3aalx%3adoc%3a9d8cab0f-1f96-4462-8642-ace99a371392%3ab62cc203-3890-4dd0-9116-0bda34156aac&t=EU_Retail_Reversal",false,Murcia,Murcia,ES,30156,807240000,Madrid,Madrid,ES,28027,807240000,ES,true,,,,,,,,,,,,
ES,122283732812,"03-Mar-2026 UTC",RETURN,FALSE,404-8808819-1600306,"05-Mar-2026 UTC",26068007320039,"amzn1:crow:/AwdFNb2TEa7KKCZlNKpMQ",B071W6NSBD,969056-44,1,"03-Mar-2026 UTC",0.2100,A_GEN_STANDARD,EUR,VAT,Taxable,,Seller,ShipTo,Country,SPAIN,-72.99,-12.67,-60.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ESB71337349,ES,,,,,,0.0000,,0.00,ES60008T9FPVBX,"https://sellercentral.amazon.es/document/download?v=urn%3aalx%3adoc%3a9d8cab0f-1f96-4462-8642-ace99a371392%3a40bc557f-b2dd-4f66-9141-6f14fe67019a&t=EU_Retail_Reversal",false,Pamplona,Navarra,ES,31001,807240000,Albal,Valencia,ES,46470,807240000,,true,,,,,,,,,,,,
ES,122283732812,"27-Mar-2026 UTC",SHIPMENT,FALSE,402-8742245-1805157,"28-Mar-2026 UTC",26154331797039,26154331797039,B0DTJLTF5F,482627-39,1,"27-Mar-2026 UTC",0.2100,A_GEN_STANDARD,EUR,VAT,Taxable,,Seller,ShipTo,Country,SPAIN,89.90,15.60,74.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ESB71337349,ES,,,,,,0.0000,,0.00,ES6000ZZ9FPVBS,"https://sellercentral.amazon.es/document/download?v=urn%3aalx%3adoc%3a9d8cab0f-1f96-4462-8642-ace99a371392%3a68822713-a5eb-4804-b3cf-9874baec14d2&t=EU_Retail_Forward",false,Pamplona,Navarra,ES,31001,807240000,Sevilla,Sevilla,ES,41015,807240000,,true,,,,,,,,,,,,
ES,122283732812,"25-Mar-2026 UTC",RETURN,FALSE,408-0433772-6979513,"26-Mar-2026 UTC",26146201043039,"amzn1:crow:4ZO1uPSLQ8SP9vljgbQG9Q",B0772R92YC,738825-41,1,"25-Mar-2026 UTC",0.2100,A_GEN_STANDARD,EUR,VAT,Taxable,,Seller,ShipTo,Country,SPAIN,-83.99,-14.58,-69.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ESB71337349,ES,ESB13006374,ES,VAT,,,0.0000,,0.00,ES6000059FPVBC,"https://sellercentral.amazon.es/document/download?v=urn%3aalx%3adoc%3a9d8cab0f-1f96-4462-8642-ace99a371392%3ab240a624-c52c-4fb6-8f1d-e72995a7549b&t=EU_Retail_Reversal",false,Pamplona,Navarra,ES,31001,807240000,MANZANARES,"CIUDAD REAL",ES,13200,807240000,,true,,,,,,,,,,,,
ES,122283732812,"29-Mar-2026 UTC",SHIPMENT,FALSE,407-2294757-4942716,"30-Mar-2026 UTC",26159120738039,26159120738039,B0DXRP3YVN,361855-38,1,"29-Mar-2026 UTC",0.2100,A_GEN_STANDARD,EUR,VAT,Taxable,,Seller,ShipTo,Country,SPAIN,65.00,11.28,53.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ESB71337349,ES,,,,,,0.0000,,0.00,ES60010F9FPVBS,"https://sellercentral.amazon.es/document/download?v=urn%3aalx%3adoc%3a9d8cab0f-1f96-4462-8642-ace99a371392%3a9fbccffa-fb85-45f9-bd3d-1762c080c2b9&t=EU_Retail_Forward",false,Pamplona,Navarra,ES,31001,807240000,"San Cristóbal de segovia",Segovia,ES,40197,807240000,,true,,,,,,,,,,,,
ES,122283732812,"29-Mar-2026 UTC",SHIPMENT,FALSE,403-5570572-6754723,"30-Mar-2026 UTC",26160725664039,26160725664039,B0772R92YD,738825-43,1,"29-Mar-2026 UTC",0.2300,A_GEN_STANDARD,EUR,VAT,Taxable,VCS_EU_OSS,Seller,ShipTo,Country,PORTUGAL,85.79,16.04,69.75,0.00,0.00,0.00,6.00,1.12,4.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ESB71337349,ES,,,,,,0.0000,,0.00,ES60001Y9FPVBU,"https://sellercentral.amazon.es/document/download?v=urn%3aalx%3adoc%3a9d8cab0f-1f96-4462-8642-ace99a371392%3a5b20362e-a7ec-4596-a90e-3d2515142913&t=EU_Retail_Forward",false,Pamplona,Navarra,ES,31001,807240000,azeitao,Portugal,PT,2925-528,,,true,,,,,,,,,,,,
ES,122283732812,"29-Mar-2026 UTC",SHIPMENT,FALSE,404-4529250-1168344,"30-Mar-2026 UTC",26160605477039,26160605477039,B0DXQ3T7F7,090749-38,1,"29-Mar-2026 UTC",0.2100,A_GEN_STANDARD,EUR,VAT,Taxable,,Seller,ShipTo,Country,SPAIN,94.57,16.41,78.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ESB71337349,ES,,,,,,0.0000,,0.00,ES60010M9FPVBS,"https://sellercentral.amazon.es/document/download?v=urn%3aalx%3adoc%3a9d8cab0f-1f96-4462-8642-ace99a371392%3a2fe7b52e-ffe5-47a2-9523-ac2e48450860&t=EU_Retail_Forward",false,Pamplona,Navarra,ES,31001,807240000,Écija,Sevilla,ES,41400,807240000,,true,,,,,,,,,,,,
ES,122283732812,"30-Mar-2026 UTC",SHIPMENT,FALSE,408-1571357-8236354,"31-Mar-2026 UTC",26165201118039,26165201118039,B082MY8K7W,729421-38,1,"31-Mar-2026 UTC",0.2100,A_GEN_STANDARD,EUR,VAT,Taxable,,Seller,ShipTo,Country,SPAIN,51.99,9.02,42.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ESB71337349,ES,,,,,,0.0000,,0.00,ES6001129FPVBS,"https://sellercentral.amazon.es/document/download?v=urn%3aalx%3adoc%3a9d8cab0f-1f96-4462-8642-ace99a371392%3a4e2908e5-be1e-486a-9832-6da8997cddd8&t=EU_Retail_Forward",false,Pamplona,Navarra,ES,31001,807240000,"Palma de Mallorca","Islas Baleares",ES,07600,807240000,,true,,,,,,,,,,,,
ES,122283732812,"28-Mar-2026 UTC",SHIPMENT,FALSE,403-5751162-7473167,"30-Mar-2026 UTC",26155953509039,26155953509039,B0DWFTNSLP,169147-38,1,"28-Mar-2026 UTC",0.2100,A_GEN_STANDARD,EUR,VAT,Taxable,,Seller,ShipTo,Country,SPAIN,77.99,13.54,64.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ESB71337349,ES,,,,,,0.0000,,0.00,ES60010A9FPVBS,"https://sellercentral.amazon.es/document/download?v=urn%3aalx%3adoc%3a9d8cab0f-1f96-4462-8642-ace99a371392%3a46ef0f8c-1fde-454e-8ea5-6efe55a1d060&t=EU_Retail_Forward",false,Pamplona,Navarra,ES,31001,807240000,Tordera,Barcelona,ES,08490,807240000,,true,,,,,,,,,,,,
ES,122283732812,"27-Mar-2026 UTC",SHIPMENT,FALSE,404-2547371-7208327,"28-Mar-2026 UTC",26154166563039,26154166563039,B0772R92YD,738825-43,1,"27-Mar-2026 UTC",0.2100,A_GEN_STANDARD,EUR,VAT,Taxable,,Seller,ShipTo,Country,SPAIN,84.40,14.65,69.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ESB71337349,ES,,,,,,0.0000,,0.00,ES6000ZX9FPVBS,"https://sellercentral.amazon.es/document/download?v=urn%3aalx%3adoc%3a9d8cab0f-1f96-4462-8642-ace99a371392%3ae3a8aeba-f54c-4122-b4ee-d9d7c9c3e35b&t=EU_Retail_Forward",false,Pamplona,Navarra,ES,31001,807240000,Aranjuez,Madrid,ES,28300,807240000,,true,,,,,,,,,,,,
ES,122283732812,"22-Feb-2026 UTC",REFUND,FALSE,406-9491955-3052352,"10-Mar-2026 UTC",26028901226039,"amzn1:crow:XtfbQgoIQYGzUUkNplwnYQ",B07DPQB3P4,999945-36,1,"22-Feb-2026 UTC",0.2100,A_GEN_STANDARD,EUR,VAT,Taxable,,Seller,ShipTo,Country,SPAIN,-78.99,-13.71,-65.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ESB71337349,ES,,,,,,0.0000,,0.00,ES6000939FPVBX,"https://sellercentral.amazon.es/document/download?v=urn%3aalx%3adoc%3a9d8cab0f-1f96-4462-8642-ace99a371392%3a3e1ddc2c-4750-4c0f-92f8-e65312417a5e&t=EU_Retail_Reversal",false,Pamplona,Navarra,ES,31001,807240000,"Albalat dels Sorells",Valencia,ES,46135,807240000,,true,,,,,,,,,,,,
ES,122283732812,"22-Mar-2026 UTC",RETURN,FALSE,403-3209731-3527535,"27-Mar-2026 UTC",26138784514039,"amzn1:crow:lkBBiyK1RYuK8/ytV4ZX5A",B0F5P211G5,464415-38,1,"22-Mar-2026 UTC",0.2100,A_GEN_STANDARD,EUR,VAT,Taxable,,Seller,ShipTo,Country,SPAIN,-119.95,-20.82,-99.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ESB71337349,ES,,,,,,0.0000,,0.00,ES6000A39FPVBX,"https://sellercentral.amazon.es/document/download?v=urn%3aalx%3adoc%3a9d8cab0f-1f96-4462-8642-ace99a371392%3a5f7236fb-91e8-414b-ac23-46e6d6a9dd2b&t=EU_Retail_Reversal",false,Pamplona,Navarra,ES,31001,807240000,"Medina de rioseco",Valladolid,ES,47800,807240000,,true,,,,,,,,,,,,
ES,122283732812,"28-Mar-2026 UTC",SHIPMENT,FALSE,171-9618237-1157958,"30-Mar-2026 UTC",26156621844039,26156621844039,B08QMRJM6F,909559-43,1,"28-Mar-2026 UTC",0.2100,A_GEN_STANDARD,EUR,VAT,Taxable,,Seller,ShipTo,Country,SPAIN,60.41,10.48,49.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ESB71337349,ES,,,,,,0.0000,,0.00,ES60010B9FPVBS,"https://sellercentral.amazon.es/document/download?v=urn%3aalx%3adoc%3a9d8cab0f-1f96-4462-8642-ace99a371392%3a39fc898e-b350-4e1c-9a0e-7ae5a2e88311&t=EU_Retail_Forward",false,Pamplona,Navarra,ES,31001,807240000,"Mairena del Alcor",Sevilla,ES,41510,807240000,,true,,,,,,,,,,,,
