ref_erp,sku_amazon,asin,ean_amazon,ean_erp,ean_final,origen_ean,metodo_match,sku_coincide,ean_coincide,todos_ean_erp,situacion_erp,titulo_amazon,is_active,notes
80005635,80005635,B09NQGGL9J,,5410288284385,5410288284385,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80005635, 5410288284385, 5410288296357",Normal,,true,
80007580,80007580,B09NQGF3GJ,,5410288293738,5410288293738,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80007580, 5410288293738",Normal,,true,
80007667,80007667,B09NQG16NY,,5410288295336,5410288295336,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80007667, 5410288295336",Normal,,true,
80007677,80007677,B09NQFS1SZ,,5410288293233,5410288293233,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80007677, 5410288293233",Normal,,true,
80007688,80007688,B09NQGDHPX,,5410288293332,5410288293332,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80007688, 5410288293332",Normal,,true,
80007725,80007725,B09NQGHZJJ,,5410288292069,5410288292069,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80007725, 5410288292069",Normal,,true,
80007791,80007791,B09NQG7XKR,,5410288291130,5410288291130,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80007791, 5410288291130",Normal,,true,
80007806,80007806,B09NQGWC8G,,5410288292342,5410288292342,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80007806, 5410288292342",Normal,,true,
80007808,80007808,B0CRWF7JCJ,,5410288291925,5410288291925,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80007808, 5410288291925",Normal,,true,
80007827,80007827,B09NQDR9TV,,5410288292335,5410288292335,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80007827, 5410288292335",Normal,,true,
80007831,80007831,B09NQFBHPJ,,5410288292250,5410288292250,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80007831, 5410288292250",Normal,,true,
80007838,80007838,B09NQD4XDK,,5410288291826,5410288291826,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80007838, 5410288291826",Normal,,true,
80007906,80007906,B0C4B74BYD,,5410288300245,5410288300245,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80007906, 5410288300245, 5410288300443",Normal,,true,
80009037,80009037,B0C4FW6ZVG,5410288055657,5410288055657,5410288055657,Helium 10,SKU = ref ERP,SI,SI,"80009037, 5410288055657",Normal,"SYLVANIA Proyector LED empotrado integrado, IP65, 6 W, ajustable, CCT 2700/3000/4000K, 100 grados, blanco",true,
80009070,80009070,B0FRBJYCZX,,5410288302409,5410288302409,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80009070, 5410288302409",Normal,,true,
80009072,80009072,B0GNK9XW8G,,5410288302362,5410288302362,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80009072, 5410288302362",Normal,,true,
80563752,80563752,B001QP55XA,,5410288278612,5410288278612,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80563752, 5410288278612",Normal,,true,
80563764,80563764,B01N3AMG9V,,5410288274683,5410288274683,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80563764, 5410288251219, 5410288274683, 5410288291871",Preferente,,true,
80587623,80587623,B00OOI9LJU,,5410288269542,5410288269542,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80587623, 5410288262970, 5410288269542, 5410288296234",Preferente,,true,
80587630,80587630,B00OOI9LL8,5410288269481,5410288269481,5410288269481,Helium 10,SKU = ref ERP,SI,SI,"80587630, 5410288262994, 5410288269481, 5410288296241",Preferente,"Sylvania SYL-0026948 - Lámpara LED (Blanco cálido, A+, 4,5 cm)",true,
80599879,80599879,B001QP4TBE,,5410288025643,5410288025643,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80599879, 5410288025643",Normal,,true,
80599909,80599909,B007TF3RE0,,5410288029016,5410288029016,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80599909, 5410288029016",Normal,,true,
80641004,80641004,B00HW4ZXR2,,5410288258027,5410288258027,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80641004, 5410288258027",Normal,,true,
80648997,80648997,B00OOI9ANM,,5410288269313,5410288269313,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80648997, 5410288269313, 5410288296074",Preferente,,true,
80670639,80670639,B00OOI9HYO,,5410288269399,5410288269399,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80670639, 5410288269399",Normal,,true,
80683837,80683837,B00M49H5R6,,5410288266725,5410288266725,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80683837, 5410288266725, 5410288295817",Preferente,,true,
80683844,80683844,B00OOJGMDC,,5410288266824,5410288266824,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80683844, 5410288266824, 5410288295893",Normal,,true,
80687927,80687927,B00Q4Y7RN4,,5410288271804,5410288271804,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80687927, 5410288271804, 5410288293714",Normal,,true,
80688283,80688283,B0152WZNNE,,5410288272467,5410288272467,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80688283, 5410288272467, 5410288295022",Normal,,true,
80688290,80688290,B0152XBQ98,,5410288272481,5410288272481,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80688290, 5410288272481, 5410288295039",Normal,,true,
80997933,80997933,B07QS59FLW,,5410288431161,5410288431161,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"8099793301, 80997933, 5410288431161",Normal,,true,
111000745,111000745,B015TZW2X8,,8718696514924,8718696514924,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"111000745, 8718696514924, 8718696514931",Normal,,true,
111001047,111001047,B01BC2C6ZQ,8718696541258,8718696541258,8718696541258,Helium 10,SKU = ref ERP,SI,SI,"111001047, 8718696541258, 8718696541265, 8720169287600",Normal,"Philips Luz led G24d-3, 8.5 W, Paquete individual",true,
111002328,111002328,B06XDKMB53,,8718696697498,8718696697498,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"111002328, 8718696697498, 8718696697504",Normal,,true,
111004026,111004026,B01IC8AOBG,,8718696580639,8718696580639,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"111004026, 8718696580639, 8718696580646",Normal,,true,
111008789,111008789,B086GVRBQ6,,8718699687069,8718699687069,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"111008789, 8718699687069",Normal,,true,
111014559,111014559,B0BF4PNMLX,,8719514467026,8719514467026,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"111014559, 8719514467026",Normal,,true,
111015454,111015454,B0CR1CP24T,8720169270640,8720169270640,8720169270640,Helium 10,SKU = ref ERP,SI,SI,"111015454, 8720169270640",Normal,"Philips Tubo LED T5 MASTER (Mains) Alta Eficiencia 11,5 W 1700 lm - 840 Blanco Frío | 85 cm - Repuesto 21W",true,
111330055,111330055,B01N3YI228,,8711500145598,8711500145598,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"111330055, 8711500125491, 8711500145598",Normal,,true,
111340788,111340788,B00CLDDMDQ,,8711500264138,8711500264138,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"111340788, 8711500264138, 8711500264145",Normal,,true,
111359995,111359995,B004A7Q1GG,,8727900911602,8727900911602,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"111359995, 8727900911602",Normal,,true,
111379771,111379771,B005UYUZ8I,,8718291155232,8718291155232,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"111379771, 8718291155232",Normal,,true,
111418463,111418463,B00ONA96SK,,8718696400807,8718696400807,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"111418463, 8718696400807",Normal,,true,
123000068,123000068,B01N7Z0F04,8427227100054,8427227100054,8427227100054,Helium 10,SKU = ref ERP,SI,SI,"123000068, 8427227100054",Normal,Clar-leuci - Lámpara fluorescente tubo miniatura f8t5/d 8w g-5,true,
123000605,123000605,B01N29607W,8427227100948,8427227100948,8427227100948,Helium 10,SKU = ref ERP,SI,SI,"123000605, 8427227100948",Normal,Clar-leuci - Lámpara fluorescente tubo luz negra f15t8-bl 15w g13,true,
150013937,150013937,B002IJSE86,43168352529,43168352529,43168352529,Helium 10,SKU = ref ERP,SI,SI,"43168352529, 150013937",Normal,Ge lighting BIAX - Lampara tm d 26w/840 g24d-3,true,
150105317,150105317,B003ZX17MY,,43168105897,43168105897,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"43168105897, 150105317",Normal,,true,
,05-NDKE-740Z,B07W4WMF8Q,4250915431024,,4250915431024,Helium 10,SIN MATCH,NO,SIN REF ERP,,,"Luminizer 3102 - Juego de 100 bombillas halógenas clásicas, C35, E27, 28 W = 34 W, intensidad regulable, luz blanca cálida",true,
500000122,500000122,B000V7E4Y0,,4008321098498,4008321098498,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"500000122, 4008321098498, 4050300446325",Normal,,true,
500000150,500000150,B000WL7KF0,,4050300017723,4050300017723,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"500000150, 4050300017723",Normal,,true,
50005188,50005188,B002AXHN3M,,4050300006130,4050300006130,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"50005188, 4050300006130, 4050300315065",Normal,,true,
50005270,50005270,B002AXJ22M,,4050300010588,4050300010588,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"50005270, 4050300010588, 4050300240947",Normal,,true,
50104690,50104690,B07PGZH9XZ,,4050300490151,4050300490151,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"50104690, 4050300490151, 4050300942209, 4058075094291, 4058075094307",Normal,,true,
50105130,50105130,B00B7MPZ28,4050300517803,4050300517797,4050300517803,Helium 10,SKU = ref ERP,SI,SI (codigo secundario),"50105130, 4050300517797, 4050300517803",Preferente,Osram Lumilux T8 G13 L 18W 840 Lámpara fluorescente,true,
50904993,50904993,B01I3QW0IM,4050300253107,4050300020303,4050300253107,Helium 10,SKU = ref ERP,SI,SI (codigo secundario),"50904993, 4050300020303, 4050300253107",Preferente,"Osram Dulux DE 26 W/840 - Lámpara de bajo consumo de 4 pines, blanco frío, G24q-3 D/E, G24q-3, 35 W",true,
50905372,50905372,B002AXMDQE,4050300295886,4050300295879,4050300295886,Helium 10,SKU = ref ERP,SI,SI (codigo secundario),"50905372, 4050300295879, 4050300295886",Normal,"Osram, Osram Dulux L 55W 840 4000K 4800lm lámpara fluorescente compacta blanco frío",true,
50905648,50905648,B002AXJ0JW,,4050300342047,4050300342047,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"50905648, 4050300342047, 4050300342054",Normal,,true,
50990125,50990125,B002AXJ4IY,,4050300012049,4050300012049,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"50990125, 4050300012049, 4050300245386",Preferente,,true,
111323132,06-CMX0-93ID,B001HB3A5S,8711500575210,8711500575210,8711500575210,Helium 10,Cruce por EAN,SOLO POR EAN,SI,"111323132, 8711500575210, 8727900209297",Normal,BOMBILLA REFLECTORA R125 INFRARROJOS 250W E27 COLOR: ROJO (TERAPEUTICA) PHILIPS,true,
80000176,80000176,B001QP6X8G,,5410288000176,5410288000176,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80000176, 5410288000176",Normal,,true,
80000299,80000299,B003UDDW5Y,5410288000299,5410288000299,5410288000299,Helium 10,SKU = ref ERP,SI,SI,"80000299, 5410288000299",Normal,Sylvania 0000029 F13W/T5/54-765 Estándar Corto Tubo,true,
80001449,80001449,B0002HPE0C,,5410288001449,5410288001449,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80001449, 5410288001449",Normal,,true,
80223018,80223018,B0002HPFS8,,5410288223018,5410288223018,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80223018, 5410288223018",Normal,,true,
80254647,80254647,B0015LVAHK,,5410288254647,5410288254647,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80254647, 5410288254647",Normal,,true,
80551365,80551365,B0015M2L3G,5410288259253,5410288259253,5410288259253,Helium 10,SKU = ref ERP,SI,SI,"80551365, 5410288259253",Normal,"SYLVANIA 0025925 LYNX-DE SUPERIA 840 G24Q-1 SLV Lamparas, 13w",true,
80996449,80996449,B001QP53X2,,5410288210308,5410288210308,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80996449, 5410288210308",Normal,,true,
80996487,80996487,B004ZUE45I,5410288210346,5410288210346,5410288210346,Helium 10,SKU = ref ERP,SI,SI,"80996487, 5410288210346",Normal,"Sylvania - Lámpara de halogenuros metálicos (150 W, Metalarc HSI-TD, 0021034, R7S, Rx7s-24)",true,
80996647,80996647,B002C6PM7Q,,5410288251516,5410288251516,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80996647, 5410288251516",Normal,,true,
80997868,80997868,B09NQD2NV9,5410288295909,5410288263861,5410288295909,Helium 10,SKU = ref ERP,SI,SI (codigo secundario),"80997868, 8099786801, 5410288263861, 5410288266862, 5410288295909",Normal,Bombilla Led TOLEDO GLSE27 9.5w 4000K SYLVANIA 0029590,true,
80997872,80997872,B00J4WTI9O,,5410288269498,5410288269498,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80997872, 8099787201, 5410288269498, 5410288296197",Normal,,true,
